code,description
14B4.,H/O: asthma
173A.,Exercise-induced asthma
173A.,Exercise-induced asthma
173A.,Exercise-induced asthma
663N.,Asthma disturbing sleep
663N.,Asthma disturbing sleep
663N0,Asthma causing night waking
663N0,Asthma causing night waking
663N1,Asthma disturbs sleep weekly
663N1,Asthma disturbs sleep weekly
663N2,Asthma disturbs sleep frequently
663N2,Asthma disturbs sleep frequently
663O.,Asthma not disturbing sleep
663O0,Asthma never disturbs sleep
663O0,Asthma never disturbs sleep
663P.,Asthma limiting activities
663P.,Asthma limiting activities
663Q.,Asthma not limiting activities
663U.,Asthma management plan given
663V.,Asthma severity
663V0,Occasional asthma
663V0,Occasional asthma
663V1,Mild asthma
663V1,Mild asthma
663V2,Moderate asthma
663V2,Moderate asthma
663V3,Severe asthma
663V3,Severe asthma
663W.,Asthma prophylactic medication used
663d.,Emergency asthma admission since last appointment
663e.,Asthma restricts exercise
663e.,Asthma restricts exercise
663e0,Asthma sometimes restricts exercise
663e0,Asthma sometimes restricts exercise
663e1,Asthma severely restricts exercise
663e1,Asthma severely restricts exercise
663f.,Asthma never restricts exercise
663f.,Asthma never restricts exercise
679J.,Health education - asthma
8791.,Further asthma - drug prevention
8793.,Asthma control step 0
8794.,Asthma control step 1
8795.,Asthma control step 2
8796.,Asthma control step 3
8797.,Asthma control step 4
8798.,Asthma control step 5
8H2P.,"Emergency admission, asthma"
8H2P.,"Emergency admission, asthma"
9OJ1.,Attends asthma monitoring
9OJ3.,Asthma monitor offer default
9OJ4.,Asthma monitoring call first letter
9OJ5.,Asthma monitoring call second letter
9OJ6.,Asthma monitoring call third letter
9OJ7.,Asthma monitoring call verbal invite
9OJ8.,Asthma monitoring call telephone invite
9OJ9.,Asthma monitoring deleted
9OJA.,Asthma monitored (& check done)
9Q21.,Patient in asthma study
H3120,Chronic asthmatic bronchitis
H3120,Chronic asthmatic bronchitis
H3120,Chronic asthmatic bronchitis
H33..,Asthma
H33..,Asthma
H33..,Asthma
H330.,Asthma: [extrins - atop][allerg][pollen][childh][+ hay fev]
