code,description
H3...,Chronic obstructive lung disease
H3...,Chronic obstructive lung disease
H31..,Chronic bronchitis
H310.,Simple chronic bronchitis
H3100,Simple chronic bronchitis
H310z,Simple chronic bronchitis NOS
H311.,Mucopurulent chronic bronchitis
H3110,Purulent chronic bronchitis
H311z,Mucopurulent chronic bronchitis NOS
H3121,Emphysematous bronchitis
H3122,Acute exacerbation of chronic obstructive airways disease
H312z,Obstructive chronic bronchitis NOS
H313.,Mixed simple and mucopurulent chronic bronchitis
H31y.,Other chronic bronchitis
H31yz,Other chronic bronchitis NOS
H31z.,Chronic bronchitis NOS
H32..,Emphysema
H320.,Chronic bullous emphysema
H3200,Segmental bullous emphysema
H3201,Zonal bullous emphysema
H3202,Giant bullous emphysema
H3203,(Bullous emphysema with collapse) or (tension pneumatocoele)
H320z,Chronic bullous emphysema NOS
H321.,Panlobular emphysema
H322.,Centrilobular emphysema
H32y.,Other emphysema
H32y0,Acute vesicular emphysema
H32y1,Emphysema: [acute interstitial] or [atrophic - senile]
H32z.,Emphysema NOS
H3y..,Other specified chronic obstructive airways disease
H3y..,Other specified chronic obstructive airways disease
H3y0.,Chronic obstruct pulmonary dis with acute lower resp infectn
H3y1.,"Chron obstruct pulmonary dis wth acute exacerbation, unspec"
H3z..,Chronic obstructive airways disease NOS
H3z..,Chronic obstructive airways disease NOS
H4640,Chronic emphysema due to chemical fumes
Hyu30,[X]Other emphysema
Hyu31,[X]Other specified chronic obstructive pulmonary disease
X101i,"Chron obstruct pulmonary dis wth acute exacerbation, unspec"
X101j,Occupational chronic bronchitis
X101n,Pulmonary emphysema
X101o,Pulmonary emphysema in alpha-1 PI deficiency
X101p,Toxic emphysema
X101r,Scar emphysema
XE0YP,Other emphysema NOS
XaEIV,Mild chronic obstructive pulmonary disease
XaEIW,Moderate chronic obstructive pulmonary disease
XaEIY,Severe chronic obstructive pulmonary disease
XaIND,End stage chronic obstructive airways disease
XaIQT,Chronic obstructive pulmonary disease monitoring
XaIQg,Interstitial pulmonary emphysema
XaIQg,Interstitial pulmonary emphysema
XaIRO,Chronic obstructive pulmonary disease monitoring due
XaIUt,COPD self-management plan given
XaIes,Chronic obstructive pulmonary disease follow-up
XaIes,Chronic obstructive pulmonary disease follow-up
XaIet,Chronic obstructive pulmonary disease annual review
XaIu7,Chronic obstructive pulmonary disease monitoring by nurse
XaIu8,Chronic obstructive pulmonary disease monitoring by doctor
XaJFu,Admit COPD emergency
XaJYf,Chronic obstructive pulmonary disease clini management plan
XaJlS,Chronic obstructive pulmonary disease monitoring admin
XaJlT,Chronic obstructive pulmonary disease monitoring 1st letter
XaJlU,Chronic obstructive pulmonary disease monitoring 2nd letter
XaJlV,Chronic obstructive pulmonary disease monitoring 3rd letter
XaJlW,Chronic obstructive pulmonary disease monitoring verb invite
XaJlY,Chronic obstructive pulmonary disease monitor phone invite
XaK8Q,Chronic obstructive pulmonary disease finding
XaK8R,COPD accident and emergency attendance since last visit
XaK8S,Emergency COPD admission since last appointment
XaK8U,Number of COPD exacerbations in past year
XaKv8,Chronic obstructive pulmonary disease disturbs sleep
XaKv9,Chronic obstructive pulmonary disease does not disturb sleep
XaKzy,Multiple COPD emergency hospital admissions
XaLqj,Health education - chronic obstructive pulmonary disease
XaN4a,Very severe chronic obstructive pulmonary disease
XaPZH,COPD patient unsuitable for pulmonary rehabilitation
XaPZH,COPD patient unsuitable for pulmonary rehabilitation
XaPls,Referred for COPD structured smoking assessment
XaPls,Referred for COPD structured smoking assessment
XaPlu,COPD structured smoking assessment declined
XaPlu,COPD structured smoking assessment declined
XaPzu,At risk of chronic obstructive pulmonary diseas exacerbation
XaRCG,Step down change in COPD management plan
XaRCH,Step up change in COPD management plan
XaW9D,Issue of chronic obstructive pulmonary disease rescue pack
XaXCa,Chronic obstructive pulmonary disease 3 monthly review
XaXCb,Chronic obstructive pulmonary disease 6 monthly review
XaXnt,GP OOH service notified of COPD care plan
XaXzy,Preferred place of care for next exacerbation of COPD
XaY05,Chronic obstructiv pulmonary disease medication optimisation
XaY0w,Referral to COPD community nursing team
XaYZO,COPD self-management plan review
XaYbA,COPD self-management plan agreed
XaZ6U,On chronic obstructive pulmonary disease supprtv cre pathway
XaZ6U,On chronic obstructive pulmonary disease supprtv cre pathway
XaZ8t,Has chronic obstructive pulmonary disease care plan
XaZd1,Acute non-infective exacerbation of COPD
XaZee,Chronic obstructive pulmonary disease care pathway
XaZoz,Seen in chronic obstructive pulmonary disease clinic
XaavA,Shared care chronic obstructive pulmonary disease monitoring
Xac33,Asthma-chronic obstructive pulmonary disease overlap syndrom
Xac8s,Telehealth chronic obstructive pulmonary disease monitoring
XafhZ,COPD monitoring email invitation
Xafhe,COPD monitring short message service text message invitation
Xafir,COPD monitoring SMS text message first invitation
Xafit,COPD monitoring SMS text message second invitation
Xafiu,COPD monitoring SMS text message third invitation
Y1f1b,Chronic obstructive pulmonary disease monitoring invitation
Y1f94,Quality and Outcomes Framework chronic obstructive pulmonary disease quality indicator-related care invitation (procedure)
H582.,Compensatory emphysema
XE0YM,Purulent chronic bronchitis
XE0ZN,Chronic: [bronchitis NOS] or [tracheobronchitis]
Xa35l,Acute infective exacerbation chronic obstruct airway disease
XE0YN,Bullous emphysema with collapse
