code,description
14C4.,H/O: colitis (& [ulcerative])
J08z9,Orofacial Crohn's disease
J4...,(Noninf enter/colit) or (inflam bowel dis) or (noninf diarr)
J40..,Enteritis: [regional-Crohn's disease] or [granulomatous]
J400.,Regional enteritis of small bowel
J4000,Crohn's disease of duodenum
J4001,Regional enteritis of the jejunum
J4002,Crohn's disease of terminal ileum
J4003,Crohn's disease of the ileum unspecified
J4004,Crohn's disease of the ileum NOS
J400z,Crohn's disease of the small bowel NOS
J401.,Regional enteritis of the large bowel
J4010,Crohn's colitis
J4010,Crohn's colitis
J4011,Crohn's proctitis
J401z,(Crohn's colitis) or (Crohn's disease of large bowel NOS)
J402.,Regional ileocolitis
J40z.,Regional enteritis NOS
J40z.,Regional enteritis NOS
J41..,(Idiopath proctocol)/(muc colit/proctit)/(ulc colit/proctit)
J410.,Ulcerative proctocolitis
J410.,Ulcerative proctocolitis
J4100,Ulcerative ileocolitis
J4103,Ulcerative proctitis
J410z,Ulcerative proctocolitis NOS
J41y.,Other idiopathic proctocolitis
J41yz,Other idiopathic proctocolitis NOS
J41z.,Idiopathic proctocolitis NOS
J41z.,Idiopathic proctocolitis NOS
Jyu40,[X]Other Crohn's disease
Jyu41,[X]Other ulcerative colitis
N0310,Arthropathy in ulcerative colitis
N0311,Arthropathy in Crohn's disease
N0453,Juvenile arthritis in Crohn's disease
N0454,Juvenile arthritis in ulcerative colitis
X20Pq,Orofacial Crohn's disease of gingivae
X300J,Crohn's disease of oesophagus
X301b,Crohn's disease of stomach
X302r,Crohn's jejunitis
X302t,Crohn's ileitis
X3030,Ulcerative enterocolitis
X303k,Indeterminate colitis
X3050,Perianal Crohn's disease
XE0ae,Inflammatory bowel disease
XE0af,Crohn's disease of the large bowel NOS
XE0af,Crohn's disease of the large bowel NOS
XE0ag,Ulcerative colitis
XE0aj,Other non-infective inflammatory gastroenteritis and colitis
XE0cX,Inflammatory bowel disease (& [noninfect enteritis/colitis])
XE0cZ,Crohn's disease (& [regional enteritis])
XE0qC,H/O: colitis
XE2QL,Crohn's disease
XE2QL,Crohn's disease
XM1RP,H/O: ulcerative colitis
Xa0lh,Regional enteritis
Xa0lh,Regional enteritis
Xa3fm,"Non-infective gastrointestinal inflammation, NOS"
Xa7nY,Non-infective colitis
XaB5x,Non-infective enteritis and colitis
XaB5z,Enterocolitis
XaK6C,Exacerbation of Crohn's disease of small intestine
XaK6D,Exacerbation of Crohn's disease of large intestine
XaK6E,Exacerbation of ulcerative colitis
XaK6F,Exacerbation of non-infective colitis
XaYzX,Ulcerative pancolitis
XaZ2j,Left sided ulcerative colitis
Y2903,Inflammatory bowel disease in remission
