code,description
N0431,Acute polyarticular juvenile rheumatoid arthritis
N041.,Felty's syndrome
X701k,Fibrosing alveolitis associated with rheumatoid arthritis
X701k,Fibrosing alveolitis associated with rheumatoid arthritis
N040T,Flare of rheumatoid arthritis
14G1.,H/O: rheumatoid arthritis
X701t,Juvenile rheumatoid arthritis
XE1Gi,Juvenile rheumatoid arthritis &/or Still's disease
N043z,Juvenile rheumatoid arthritis NOS
N0433,Monarticular juvenile rheumatoid arthritis
F3964,Myopathy due to rheumatoid arthritis
X705t,Nailfold rheumatoid vasculitis
X705v,Necrotising rheumatoid vasculitis
2G27.,O/E-hands-rheumatoid spindling
N0401,Other rheumatoid arthritis of spine
N042.,Other rheumatoid arthropathy + visceral/systemic involvement
F3712,Polyneuropathy in rheumatoid arthritis
Xafj8,Rheum arth monitor invitation by SMS (short message service)
N040.,Rheumatoid arthritis
Xa3gN,Rheumatoid arthritis - ankle/foot
Xa3gM,Rheumatoid arthritis - hand joint
N040S,Rheumatoid arthritis - multiple joint
Xa3gL,Rheumatoid arthritis - multiple joint
Xa3gO,Rheumatoid arthritis - other joint
Xa3gP,Rheumatoid arthritis NOS
XE1DU,Rheumatoid arthritis and other inflammatory polyarthropathy
XaZdB,Rheumatoid arthritis annual review
XM1XV,Rheumatoid arthritis monitoring
XafjA,Rheumatoid arthritis monitoring SMS text mesg 2nd invitation
XafjB,Rheumatoid arthritis monitoring SMS text mesg 3rd invitation
XaaWW,Rheumatoid arthritis monitoring invitation
XagLZ,Rheumatoid arthritis monitoring invitation email
XaaWt,Rheumatoid arthritis monitoring invitation first letter
XaaWu,Rheumatoid arthritis monitoring invitation second letter
XaaWv,Rheumatoid arthritis monitoring invitation third letter
XaaWx,Rheumatoid arthritis monitoring telephone invitation
XaaWw,Rheumatoid arthritis monitoring verbal invitation
Xafj9,Rheumatoid arthritis monitring SMS text msg first invitation
N040A,Rheumatoid arthritis of DIP joint of finger
N0409,Rheumatoid arthritis of PIP joint of finger
N0404,Rheumatoid arthritis of acromioclavicular joint
N040F,Rheumatoid arthritis of ankle
N0400,Rheumatoid arthritis of cervical spine
N0406,Rheumatoid arthritis of distal radioulnar joint
N0405,Rheumatoid arthritis of elbow
N040K,Rheumatoid arthritis of first metatarsophalangeal joint
N040B,Rheumatoid arthritis of hip
N040M,Rheumatoid arthritis of interphalangeal joint of toe
N040D,Rheumatoid arthritis of knee
N040L,Rheumatoid arthritis of lesser metatarsophalangeal joint
N0408,Rheumatoid arthritis of metacarpophalangeal joint
N040J,Rheumatoid arthritis of other tarsal joint
N040C,Rheumatoid arthritis of sacroiliac joint
N0402,Rheumatoid arthritis of shoulder
N0403,Rheumatoid arthritis of sternoclavicular joint
N040G,Rheumatoid arthritis of subtalar joint
N040H,Rheumatoid arthritis of talonavicular joint
N040E,Rheumatoid arthritis of tibiofibular joint
N0407,Rheumatoid arthritis of wrist
X701m,Rheumatoid arthritis with multisystem involvement
X701j,Rheumatoid arthritis with organ / system involvement
N042z,Rheumatoid arthropathy + visceral/systemic involvement NOS
N040Q,Rheumatoid bursitis
G5yA.,Rheumatoid carditis
N0421,Rheumatoid lung
N0421,Rheumatoid lung
G5y8.,Rheumatoid myocarditis
N0422,Rheumatoid nodule
X103Y,Rheumatoid pneumoconiosis
X103Y,Rheumatoid pneumoconiosis
X701l,Rheumatoid vasculitis
X701i,Seronegative rheumatoid arthritis
XaBMO,Seropositive errosive rheumatoid arthritis
X701h,Seropositive rheumatoid arthritis
Xa3wk,Still's disease - juvenile rheumatoid arthritis
X705u,Systemic rheumatoid vasculitis
Nyu11,[X]Other seropositive rheumatoid arthritis
Nyu12,[X]Other specified rheumatoid arthritis
Nyu10,[X]Rheumatoid arthritis+involvement/other organs or systems
Nyu1G,"[X]Seropositive rheumatoid arthritis, unspecified"
N04X.,"[X]Seropositive rheumatoid arthritis, unspecified"
