code,description
M05,Seropositive rheumatoid arthritis
M050,Felty syndrome
M051,Rheumatoid lung disease J99.0
M052,Rheumatoid vasculitis
M053,Rheumatoid arthritis with involvement of other organs and systems
M058,Other seropositive rheumatoid arthritis
M059,"Seropositive rheumatoid arthritis, unspecified"
M06,Other rheumatoid arthritis
M060,Seronegative rheumatoid arthritis
M061,Adult-onset Still disease
M062,Rheumatoid bursitis
M063,Rheumatoid nodule
M068,Other specified rheumatoid arthritis
M069,"Rheumatoid arthritis, unspecified"
M080,Juvenile rheumatoid arthritis
