code,description
M154.,Lupus erythematosus
M154z,Lupus erythematosus NOS
N000.,Systemic lupus erythematosus
N0004,Systemic lupus erythematosus with pericarditis
N0000,Disseminated lupus erythematosus
K01x4,Lupus nephritis
M1547,Subacute cutaneous lupus erythematosus
N0003,Systemic lupus erythematosus with organ or sys involv
H57y4,Lung disease with systemic lupus erythematosus
M1540,Lupus erythematosus chronicus
N0002,Drug-induced systemic lupus erythematosus
M1542,Lupus erythematosus migrans
N000z,Systemic lupus erythematosus NOS
F3710,Polyneuropathy in disseminated lupus erythematosus
M1545,Lupus erythematosus tumidus
ZRq9.,Systemic lupus erythematosus disease activity index
M1544,Lupus erythematosus profundus
K01x4,Nephrotic syndrome in systemic lupus erythematosus
ZRq8.,Systemic lupus activity measure
Nyu43,[X]Other forms of systemic lupus erythematosus
M1546,Lupus erythematosus unguium mutilans
M1543,Lupus erythematosus nodularis
N0005,Neonatal lupus erythematosus
N0006,Cerebral lupus
