code,description
h5...,OTHER CYTOXIC DRUGS
h51..,AMSACRINE
h511.,AMSIDINE 75mg/15mL intravenous infusion concentrate+diluent
h52..,CARBOPLATIN
h521.,PARAPLATIN 150mg solution for injection
h522.,PARAPLATIN 50mg solution for injection
h523.,PARAPLATIN 450mg solution for injection
h524.,CARBOPLATIN 50mg solution for injection
h525.,CARBOPLATIN 450mg solution for injection
h52z.,CARBOPLATIN 150mg solution for injection
h53..,CISPLATIN
h53t.,CISPLATIN 10mg injection (pdr for recon)
h53u.,CISPLATIN 10mg/20mL solution for injection
h53x.,CISPLATIN 50mg/100mL injection solution
h53z.,CISPLATIN 50mg injection (pdr for recon)
h54..,DACARBAZINE
h541.,DTIC-DOME 100mg injection (pdr for recon)
h542.,DTIC-DOME 200mg injection (pdr for recon)
h54y.,DACARBAZINE 100mg injection (pdr for recon)
h54z.,DACARBAZINE 200mg injection (pdr for recon)
h55..,HYDROXYCARBAMIDE
h551.,HYDREA 500mg capsules
h55z.,HYDROXYCARBAMIDE 500mg capsules
h57..,PROCARBAZINE
h571.,*NATULAN 50mg capsules
h57z.,PROCARBAZINE 50mg capsules
h58..,RAZOXANE
h581.,*RAZOXIN 125mg tablets
h58z.,*RAZOXANE 125mg tablets
h59..,CRISANTASPASE
h591.,"CRISANTASPASE 10,000iu injection (pdr for recon)"
h592.,"ERWINASE 10,000iu injection (pdr for recon)"
h8...,OTHER IMMUNOSUPPRESSANTS
h81..,ANTILYMPHOCYTE IMMUNOGLOBULIN
h811.,PRESSIMMUNE 250mg/5mL injection
h812.,PRESSIMMUNE 500mg/10mL injection
h82..,CICLOSPORIN
h821.,SANDIMMUN 100mg/mL sugar free oral solution
h822.,SANDIMMUN 50mg/1mL injection
h823.,SANDIMMUN 250mg/5mL injection
h824.,SANDIMMUN 25mg capsules
h825.,SANDIMMUN 100mg capsules
h826.,CICLOSPORIN 25mg capsules
h827.,CICLOSPORIN 100mg capsules
h828.,SANDIMMUN 50mg capsules
h82x.,CICLOSPORIN 100mg/mL sugar free oral solution
h82y.,CICLOSPORIN 50mg/1mL injection
h82z.,CICLOSPORIN 250mg/5mL injection
h91..,CORYNEBACTERIUM PARVUM VACCINE
h911.,COPARVAX 7mg injection (pdr for recon)
ha...,INTERFERONS
ha1..,INTERFERONS
ha11.,INTRONA 3million iu injection (pdr for recon)
ha12.,INTRONA 5million iu injection (pdr for recon)
ha13.,INTRONA 10million iu injection (pdr for recon)
ha14.,INTRONA 30million iu injection (pdr for recon)
ha15.,ROFERON-A 3million iu injection (pdr for recon)
ha16.,ROFERON-A 9million iu injection (pdr for recon)
ha17.,ROFERON-A 18million iu injection (pdr for recon)
ha18.,WELLFERON 3million units/1mL injection
ha19.,WELLFERON 10million units/1mL injection
ha1s.,INTERFERONS 5million units injection (pdr for recon)
ha1t.,INTERFERONS 10million iu injection (pdr for recon)
