codes,description,bnf_paragraph
326874007,Methotrexate 2.5mg tablets,1001030
1309211000001104,Methotrexate 2.5mg tablets,1001030
965211000001109,Methotrexate 2.5mg tablets,1001030
11925811000001104,Methotrexate 2.5mg tablets,1001030
201811000001107,Methotrexate 2.5mg tablets (A A H Pharmaceuticals Ltd),1001030
1939611000001103,Methotrexate 2.5mg tablets (A A H Pharmaceuticals Ltd),1001030
38743711000001106,Methotrexate 2.5mg tablets (A A H Pharmaceuticals Ltd),1001030
1939411000001101,Methotrexate 2.5mg tablets (A A H Pharmaceuticals Ltd),1001030
11925911000001109,Methotrexate 2.5mg tablets (A A H Pharmaceuticals Ltd),1001030
383711000001107,Methotrexate 2.5mg tablets (Pfizer Ltd),1001030
1939811000001104,Methotrexate 2.5mg tablets (Pfizer Ltd),1001030
167911000001107,Methotrexate 2.5mg tablets (Kent Pharmaceuticals Ltd),1001030
1940011000001103,Methotrexate 2.5mg tablets (Kent Pharmaceuticals Ltd),1001030
644711000001108,Maxtrex 2.5mg tablets (Pfizer Ltd),1001030
1940211000001108,Maxtrex 2.5mg tablets (Pfizer Ltd),1001030
21228211000001105,Maxtrex 2.5mg tablets (Pfizer Ltd),1001030
706911000001103,Methotrexate 2.5mg tablets (Alliance Healthcare (Distribution) Ltd),1001030
1940611000001105,Methotrexate 2.5mg tablets (Alliance Healthcare (Distribution) Ltd),1001030
2805311000001108,Methotrexate 2.5mg tablets (Alliance Healthcare (Distribution) Ltd),1001030
12058311000001107,Methotrexate 2.5mg tablets (Alliance Healthcare (Distribution) Ltd),1001030
683611000001105,Methotrexate 2.5mg tablets (Advanz Pharma),1001030
1941011000001107,Methotrexate 2.5mg tablets (Advanz Pharma),1001030
12241311000001109,Methotrexate 2.5mg tablets (Advanz Pharma),1001030
11026411000001101,Methotrexate 2.5mg tablets (Wockhardt UK Ltd),1001030
11026511000001102,Methotrexate 2.5mg tablets (Wockhardt UK Ltd),1001030
11177111000001103,Methotrexate 2.5mg tablets (Wockhardt UK Ltd),1001030
14962511000001107,Methotrexate 2.5mg tablets (Orion Pharma (UK) Ltd),1001030
14963011000001108,Methotrexate 2.5mg tablets (Orion Pharma (UK) Ltd),1001030
14962811000001105,Methotrexate 2.5mg tablets (Orion Pharma (UK) Ltd),1001030
14962611000001106,Methotrexate 2.5mg tablets (Orion Pharma (UK) Ltd),1001030
29738611000001107,Methotrexate 2.5mg tablets (Orion Pharma (UK) Ltd),1001030
20310611000001100,Methotrexate 2.5mg tablets (Sandoz Ltd),1001030
20310711000001109,Methotrexate 2.5mg tablets (Sandoz Ltd),1001030
21014711000001106,Methotrexate 2.5mg tablets (Sandoz Ltd),1001030
34175211000001109,Methotrexate 2.5mg tablets (Sandoz Ltd),1001030
21796211000001108,Methotrexate 2.5mg tablets (Waymade Healthcare Plc),1001030
21796411000001107,Methotrexate 2.5mg tablets (Waymade Healthcare Plc),1001030
21796311000001100,Methotrexate 2.5mg tablets (Waymade Healthcare Plc),1001030
22222311000001101,Methotrexate 2.5mg tablets (Teva UK Ltd),1001030
22222411000001108,Methotrexate 2.5mg tablets (Teva UK Ltd),1001030
24136011000001106,Methotrexate 2.5mg tablets (Morningside Healthcare Ltd),1001030
24136111000001107,Methotrexate 2.5mg tablets (Morningside Healthcare Ltd),1001030
24136311000001109,Methotrexate 2.5mg tablets (Morningside Healthcare Ltd),1001030
24381611000001105,Methotrexate 2.5mg tablets (DE Pharmaceuticals),1001030
24381911000001104,Methotrexate 2.5mg tablets (DE Pharmaceuticals),1001030
24381811000001109,Methotrexate 2.5mg tablets (DE Pharmaceuticals),1001030
24381711000001101,Methotrexate 2.5mg tablets (DE Pharmaceuticals),1001030
29918911000001101,Methotrexate 2.5mg tablets (Sigma Pharmaceuticals Plc),1001030
29919011000001105,Methotrexate 2.5mg tablets (Sigma Pharmaceuticals Plc),1001030
34956611000001101,Methotrexate 2.5mg tablets (Almus Pharmaceuticals Ltd),1001030
34956711000001105,Methotrexate 2.5mg tablets (Almus Pharmaceuticals Ltd),1001030
37273211000001103,Methotrexate 2.5mg tablets (Mawdsley-Brooks & Company Ltd),1001030
37273311000001106,Methotrexate 2.5mg tablets (Mawdsley-Brooks & Company Ltd),1001030
39041011000001109,Methotrexate 2.5mg tablets (Medihealth (Northern) Ltd),1001030
39041111000001105,Methotrexate 2.5mg tablets (Medihealth (Northern) Ltd),1001030
39041311000001107,Methotrexate 2.5mg tablets (Medihealth (Northern) Ltd),1001030
39041211000001104,Methotrexate 2.5mg tablets (Medihealth (Northern) Ltd),1001030
326875008,Methotrexate 10mg tablets,1001030
959011000001109,Methotrexate 10mg tablets,1001030
21678811000001107,Methotrexate 10mg tablets,1001030
928011000001103,Methotrexate 10mg tablets (A A H Pharmaceuticals Ltd),1001030
1945611000001102,Methotrexate 10mg tablets (A A H Pharmaceuticals Ltd),1001030
21678911000001102,Methotrexate 10mg tablets (A A H Pharmaceuticals Ltd),1001030
191111000001100,Methotrexate 10mg tablets (Pfizer Ltd),1001030
1945911000001108,Methotrexate 10mg tablets (Pfizer Ltd),1001030
322011000001106,Maxtrex 10mg tablets (Pfizer Ltd),1001030
1946211000001105,Maxtrex 10mg tablets (Pfizer Ltd),1001030
136411000001105,Methotrexate 10mg tablets (Alliance Healthcare (Distribution) Ltd),1001030
1946411000001109,Methotrexate 10mg tablets (Alliance Healthcare (Distribution) Ltd),1001030
11026611000001103,Methotrexate 10mg tablets (Wockhardt UK Ltd),1001030
11026711000001107,Methotrexate 10mg tablets (Wockhardt UK Ltd),1001030
14963911000001107,Methotrexate 10mg tablets (Orion Pharma (UK) Ltd),1001030
14964011000001105,Methotrexate 10mg tablets (Orion Pharma (UK) Ltd),1001030
15109411000001107,Methotrexate 10mg tablets (Sigma Pharmaceuticals Plc),1001030
15109811000001109,Methotrexate 10mg tablets (Sigma Pharmaceuticals Plc),1001030
20310811000001101,Methotrexate 10mg tablets (Sandoz Ltd),1001030
20310911000001106,Methotrexate 10mg tablets (Sandoz Ltd),1001030
21796511000001106,Methotrexate 10mg tablets (Waymade Healthcare Plc),1001030
21796611000001105,Methotrexate 10mg tablets (Waymade Healthcare Plc),1001030
22222111000001103,Methotrexate 10mg tablets (Teva UK Ltd),1001030
22222211000001109,Methotrexate 10mg tablets (Teva UK Ltd),1001030
24135711000001100,Methotrexate 10mg tablets (Morningside Healthcare Ltd),1001030
24135811000001108,Methotrexate 10mg tablets (Morningside Healthcare Ltd),1001030
24381411000001107,Methotrexate 10mg tablets (DE Pharmaceuticals),1001030
24381511000001106,Methotrexate 10mg tablets (DE Pharmaceuticals),1001030
330057007,Leflunomide 10mg tablets,1001030
1206411000001104,Leflunomide 10mg tablets,1001030
15620211000001109,Leflunomide 10mg tablets,1001030
499111000001102,Arava 10mg tablets (Sanofi),1001030
2185111000001103,Arava 10mg tablets (Sanofi),1001030
18172711000001109,Leflunomide 10mg tablets (medac UK),1001030
18172811000001101,Leflunomide 10mg tablets (medac UK),1001030
18342011000001101,Leflunomide 10mg tablets (Alliance Healthcare (Distribution) Ltd),1001030
