code,description
4C53.,Bone marrow: myeloma cells
A7896,HIV disease resulting in Burkitt's lymphoma
A7897,HIV dis resulting oth types of non-Hodgkin's lymphoma
AyuC6,[X]HIV disease resulting in other non-Hodgkin's lymphoma
B6...,Malig neoplasm lympha & haemopoiet tiss (& [histiocyt tiss])
B60..,Lymphosarcoma and reticulosarcoma
B600.,Reticulosarcoma
B6000,Reticulosarcoma of unspecified site
B6001,"Reticulosarcoma of lymph nodes of head, face and neck"
B6002,Reticulosarcoma of intrathoracic lymph nodes
B6003,Reticulosarcoma of intra-abdominal lymph nodes
B6004,Reticulosarcoma of lymph nodes of axilla and upper limb
B6005,Reticulosarcoma of lymph nodes of inguinal region and leg
B6006,Reticulosarcoma of intrapelvic lymph nodes
B6007,Reticulosarcoma of spleen
B6008,Reticulosarcoma of lymph nodes of multiple sites
B600z,Reticulosarcoma NOS
B601.,Lymphosarcoma
B6010,Lymphosarcoma of unspecified site
B6011,"Lymphosarcoma of lymph nodes of head, face and neck"
B6012,Lymphosarcoma of intrathoracic lymph nodes
B6013,Lymphosarcoma of intra-abdominal lymph nodes
B6014,Lymphosarcoma of lymph nodes of axilla and upper limb
B6015,Lymphosarcoma of lymph nodes of inguinal region and leg
B6016,Lymphosarcoma of intrapelvic lymph nodes
B6017,Lymphosarcoma of spleen
B6018,Lymphosarcoma of lymph nodes of multiple sites
B601z,Lymphosarcoma NOS
B602.,Burkitt's lymphoma - disorder
B6020,Burkitt's lymphoma of unspecified site
B6021,"Burkitt's lymphoma of lymph nodes of head, face and neck"
B6022,Burkitt's lymphoma of intrathoracic lymph nodes
B6023,Burkitt's lymphoma of intra-abdominal lymph nodes
B6024,Burkitt's lymphoma of lymph nodes of axilla and upper limb
B6025,Burkitt's lymphoma of lymph nodes of inguinal region and leg
B6026,Burkitt's lymphoma of intrapelvic lymph nodes
B6027,Burkitt's lymphoma of spleen
B6028,Burkitt's lymphoma of lymph nodes of multiple sites
B602z,Burkitt's lymphoma NOS
B60y.,Other specified reticulosarcoma or lymphosarcoma
B60z.,Reticulosarcoma or lymphosarcoma NOS
B61..,Hodgkin's disease
B611.,Hodgkin's granuloma
B6110,Hodgkin's granuloma of unspecified site
B6111,"Hodgkin's granuloma of lymph nodes of head, face and neck"
B6112,Hodgkin's granuloma of intrathoracic lymph nodes
B6113,Hodgkin's granuloma of intra-abdominal lymph nodes
B6114,Hodgkin's granuloma of lymph nodes of axilla and upper limb
B6115,Hodgkin's granuloma lymph nodes of inguinal region and leg
B6116,Hodgkin's granuloma of intrapelvic lymph nodes
B6117,Hodgkin's granuloma of spleen
B6118,Hodgkin's granuloma of lymph nodes of multiple sites
B611z,Hodgkin's granuloma NOS
B612.,Hodgkin's sarcoma
B6120,Hodgkin's sarcoma of unspecified site
B6121,"Hodgkin's sarcoma of lymph nodes of head, face and neck"
B6122,Hodgkin's sarcoma of intrathoracic lymph nodes
B6123,Hodgkin's sarcoma of intra-abdominal lymph nodes
B6124,Hodgkin's sarcoma of lymph nodes of axilla and upper limb
B6125,Hodgkin's sarcoma of lymph nodes of inguinal region and leg
B6126,Hodgkin's sarcoma of intrapelvic lymph nodes
B6127,Hodgkin's sarcoma of spleen
B6128,Hodgkin's sarcoma of lymph nodes of multiple sites
B612z,Hodgkin's sarcoma NOS
B613.,Lymphocyte-rich classical Hodgkin lymphoma
B6130,"Hodgkin's, lymphocytic-histiocytic predominance unspec site"
B6131,"Hodgkin's, lymphocytic-histiocytic pred of head, face, neck"
B6132,"Hodgkin's, lymphocytic-histiocytic pred intrathoracic nodes"
B6133,"Hodgkin's, lymphocytic-histiocytic pred intra-abdominal node"
B6134,"Hodgkin's, lymphocytic-histiocytic pred axilla and arm"
B6135,"Hodgkin's, lymphocytic-histiocytic pred inguinal and leg"
B6136,"Hodgkin's, lymphocytic-histiocytic pred intrapelvic nodes"
B6137,"Hodgkin's, lymphocytic-histiocytic predominance of spleen"
B6138,"Hodgkin's, lymphocytic-histiocytic pred of multiple sites"
B613z,"Hodgkin's, lymphocytic-histiocytic predominance NOS"
B614.,"Hodgkin's disease, nodular sclerosis"
B6140,"Hodgkin's disease, nodular sclerosis of unspecified site"
B6141,"Hodgkin's nodular sclerosis of head, face and neck"
B6142,Hodgkin's nodular sclerosis of intrathoracic lymph nodes
B6143,Hodgkin's nodular sclerosis of intra-abdominal lymph nodes
B6144,Hodgkin's nodular sclerosis of lymph nodes of axilla and arm
B6145,Hodgkin's nodular sclerosis of inguinal region and leg
B6146,Hodgkin's nodular sclerosis of intrapelvic lymph nodes
B6147,"Hodgkin's disease, nodular sclerosis of spleen"
B6148,Hodgkin's nodular sclerosis of lymph nodes of multiple sites
B614z,"Hodgkin's disease, nodular sclerosis NOS"
B615.,"Hodgkin's disease, mixed cellularity"
B6150,"Hodgkin's disease, mixed cellularity of unspecified site"
B6151,"Hodgkin's mixed cellularity of lymph nodes head, face, neck"
B6152,Hodgkin's mixed cellularity of intrathoracic lymph nodes
B6153,Hodgkin's mixed cellularity of intra-abdominal lymph nodes
B6154,Hodgkin's mixed cellularity of lymph nodes of axilla and arm
B6155,Hodgkin's mixed cellularity of lymph nodes inguinal and leg
B6156,Hodgkin's mixed cellularity of intrapelvic lymph nodes
B6157,"Hodgkin's disease, mixed cellularity of spleen"
B6158,Hodgkin's mixed cellularity of lymph nodes of multiple sites
B615z,"Hodgkin's disease, mixed cellularity NOS"
B616.,"Hodgkin's disease, lymphocytic depletion"
B6160,Hodgkin's lymphocytic depletion of unspecified site
B6161,"Hodgkin's lymphocytic depletion of head, face and neck"
B6162,Hodgkin's lymphocytic depletion of intrathoracic lymph nodes
B6163,Hodgkin's lymphocytic depletion intra-abdominal lymph nodes
B6164,Hodgkin's lymphocytic depletion lymph nodes axilla and arm
B6165,Hodgkin's lymphocytic depletion lymph nodes inguinal and leg
B6166,Hodgkin's lymphocytic depletion of intrapelvic lymph nodes
B6167,"Hodgkin's disease, lymphocytic depletion of spleen"
B6168,Hodgkin's lymphocytic depletion lymph nodes multiple sites
B616z,"Hodgkin's disease, lymphocytic depletion NOS"
B61z.,Hodgkin's disease NOS
B61z0,"Hodgkin's disease NOS, unspecified site"
B61z1,"Hodgkin's disease NOS of lymph nodes of head, face and neck"
B61z2,Hodgkin's disease NOS of intrathoracic lymph nodes
B61z3,Hodgkin's disease NOS of intra-abdominal lymph nodes
B61z4,Hodgkin's disease NOS of lymph nodes of axilla and arm
B61z5,Hodgkin's disease NOS of lymph nodes inguinal region and leg
B61z6,Hodgkin's disease NOS of intrapelvic lymph nodes
B61z7,Hodgkin's disease NOS of spleen
B61z8,Hodgkin's disease NOS of lymph nodes of multiple sites
B61zz,Hodgkin's disease NOS
B62..,Other malignant neoplasm of lymphoid and histiocytic tissue
B620.,(Nodular lymphoma: Brill-Symmers) or (reticulosarc foll/nod)
B6200,Nodular lymphoma of unspecified site
B6201,"Nodular lymphoma of lymph nodes of head, face and neck"
B6202,Nodular lymphoma of intrathoracic lymph nodes
B6203,Nodular lymphoma of intra-abdominal lymph nodes
B6204,Nodular lymphoma of lymph nodes of axilla and upper limb
B6205,Nodular lymphoma of lymph nodes of inguinal region and leg
B6206,Nodular lymphoma of intrapelvic lymph nodes
B6207,Nodular lymphoma of spleen
B6208,Nodular lymphoma of lymph nodes of multiple sites
B620z,Nodular lymphoma NOS
B621.,Mycosis fungoides
B6210,Mycosis fungoides of unspecified site
B6211,"Mycosis fungoides of the lymph nodes of head, face and neck"
B6212,Mycosis fungoides of intrathoracic lymph nodes
B6213,Mycosis fungoides of intra-abdominal lymph nodes
B6214,Mycosis fungoides of lymph nodes of axilla and upper limb
B6215,Mycosis fungoides of lymph nodes of inguinal region and leg
B6216,Mycosis fungoides of intrapelvic lymph nodes
B6217,Mycosis fungoides of spleen
B6218,Mycosis fungoides of lymph nodes of multiple sites
B621z,Mycosis fungoides NOS
B622.,Sezary's disease
B6220,Sezary's disease of unspecified site
B6221,"Sezary's disease of lymph nodes of head, face and neck"
B6222,Sezary's disease of intrathoracic lymph nodes
B6223,Sezary's disease of intra-abdominal lymph nodes
B6224,Sezary's disease of lymph nodes of axilla and upper limb
B6225,Sezary's disease of lymph nodes of inguinal region and leg
B6226,Sezary's disease of intrapelvic lymph nodes
B6227,Sezary's disease of spleen
B6228,Sezary's disease of lymph nodes of multiple sites
B622z,Sezary's disease NOS
B623.,Malignant histiocytosis
B6230,Malignant histiocytosis of unspecified site
B6231,"Malignant histiocytosis of lymph nodes head, face and neck"
B6232,Malignant histiocytosis of intrathoracic lymph nodes
B6233,Malignant histiocytosis of intra-abdominal lymph nodes
B6234,Malignant histiocytosis of lymph nodes of axilla and arm
B6235,Malignant histiocytosis of lymph nodes inguinal and leg
B6236,Malignant histiocytosis of intrapelvic lymph nodes
B6237,Malignant histiocytosis of spleen
B6238,Malignant histiocytosis of lymph nodes of multiple sites
B623z,Malignant histiocytosis NOS
B624.,Hairy cell leukaemia
B6240,Leukaemic reticuloendotheliosis of unspecified sites
B6241,"Leukaemic reticuloend of lymph nodes of head, face and neck"
B6242,Leukaemic reticuloendotheliosis of intrathoracic lymph nodes
B6243,Leukaemic reticuloend of intra-abdominal lymph nodes
B6244,Leukaemic reticuloend of lymph nodes of axilla and arm
B6245,Leukaemic reticuloend of lymph nodes inguinal region and leg
B6246,Leukaemic reticuloendotheliosis of intrapelvic lymph nodes
B6247,Leukaemic reticuloendotheliosis of spleen
B6248,Leukaemic reticuloend of lymph nodes of multiple sites
B624z,Leukaemic reticuloendotheliosis NOS
B625.,Letterer-Siwe disease
B6250,Letterer-Siwe disease of unspecified sites
B6251,"Letterer-Siwe disease of lymph nodes of head, face and neck"
B6252,Letterer-Siwe disease of intrathoracic lymph nodes
B6253,Letterer-Siwe disease of intra-abdominal lymph nodes
B6254,Letterer-Siwe disease of lymph nodes of axilla and arm
B6255,Letterer-Siwe disease of lymph nodes inguinal region and leg
B6256,Letterer-Siwe disease of intrapelvic lymph nodes
B6257,Letterer-Siwe disease of spleen
B6258,Letterer-Siwe disease of lymph nodes of multiple sites
B625z,Letterer-Siwe disease NOS
B626.,Malignant mast cell tumours
B6260,Mast cell malignancy of unspecified site
B6261,"Mast cell malignancy of lymph nodes of head, face and neck"
B6262,Mast cell malignancy of intrathoracic lymph nodes
B6263,Mast cell malignancy of intra-abdominal lymph nodes
B6264,Mast cell malignancy of lymph nodes of axilla and upper limb
B6265,Mast cell malignancy of lymph nodes inguinal region and leg
B6266,Mast cell malignancy of intrapelvic lymph nodes
B6267,Mast cell malignancy of spleen
B6268,Mast cell malignancy of lymph nodes of multiple sites
B626z,Malignant mast cell tumour NOS
B627.,Non-Hodgkin's lymphoma - disorder
B6271,Follicular non-Hodg mixed sml cleavd & lge cell lymphoma
B6273,Diffuse malignant lymphoma - small non-cleaved cell
B6274,Malignant lymphoma - small cleaved cell
B6275,Malignant lymphoma - mixed small and large cell
B6276,Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma
B6277,Diffuse non-Hodgkin's lymphoblastic (diffuse) lymphoma
B6278,Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse)
B627B,Other types of follicular non-Hodgkin's lymphoma
B627C,Follicular lymphoma: [non-Hodgkin's] or [NOS]
B62x.,Malignant lymphoma otherwise specified
B62x5,Malignant immunoproliferative small intestinal disease
B62y.,Malignant lymphoma NOS
B62y0,Malignant lymphoma NOS of unspecified site
B62y1,"Malignant lymphoma NOS of lymph nodes of head, face and neck"
B62y2,Malignant lymphoma NOS of intrathoracic lymph nodes
B62y3,Malignant lymphoma NOS of intra-abdominal lymph nodes
B62y4,Malignant lymphoma NOS of lymph nodes of axilla and arm
B62y5,Malignant lymphoma NOS of lymph node inguinal region and leg
B62y6,Malignant lymphoma NOS of intrapelvic lymph nodes
B62y7,Malignant lymphoma NOS of spleen
B62y8,Malignant lymphoma NOS of lymph nodes of multiple sites
B62z.,Malignant neoplasms of lymphoid and histiocytic tissue NOS
B62z0,Unspec malig neop lymphoid/histiocytic of unspecified site
B62z1,Unspec malig neop lymphoid/histiocytic lymph node head/neck
B62z2,Unspec malig neop lymphoid/histiocytic of intrathoracic node
B62z3,Unspec malig neop lymphoid/histiocytic intra-abdominal nodes
B62z4,Unspec malig neop lymphoid/histiocytic lymph node axilla/arm
B62z5,Unspec malig neop lymphoid/histiocytic nodes inguinal/leg
B62z6,Unspec malig neop lymphoid/histiocytic of intrapelvic nodes
B62z7,Unspec malig neop lymphoid/histiocytic of spleen
B62z8,Unspec malig neop lymphoid/histiocytic of multiple sites
B62zz,(Lymphoid & histiocytic malign NOS) or (immunoprolif neopl)
B63..,Multiple myeloma and immunoproliferative disease
B630.,Myeloma
B6300,"Malignant plasma cell neoplasm, extramedullary plasmacytoma"
B6302,Plasmacytoma NOS
B63y.,Other immunoproliferative neoplasms
B63z.,Immunoproliferative neoplasm or myeloma NOS
B64..,Lymphoid leukaemia
B640.,Acute lymphoid leukaemia
B641.,Chronic lymphoid leukaemia
B642.,Subacute lymphoid leukaemia
B64y.,Other lymphoid leukaemia
B64y0,Aleukaemic lymphoid leukaemia
B64y1,Prolymphocytic leukaemia
B64y2,Adult T-cell leukaemia
B64yz,Other lymphoid leukaemia NOS
B64z.,Lymphoid leukaemia NOS
B65..,Myeloid leukaemia
B650.,Acute myeloid leukaemia
B651.,Chronic myeloid leukaemia
B6510,Chronic eosinophilic leukaemia
B6512,Chronic neutrophilic leukaemia
B651z,Chronic myeloid leukaemia NOS
B652.,Subacute myeloid leukaemia
B653.,Myeloid sarcoma
B6530,Chloroma
B6531,Granulocytic sarcoma
B653z,Myeloid sarcoma NOS
B65y.,Other myeloid leukaemia
B65y0,Aleukaemic myeloid leukaemia
B65y1,Acute promyelocytic leukaemia
B65yz,Other myeloid leukaemia NOS
B65z.,Myeloid leukaemia NOS
B66..,Monocytic leukaemia
B660.,Acute monocytic leukaemia
B661.,Chronic monocytic leukaemia
B662.,Subacute monocytic leukaemia
B66y.,Other monocytic leukaemia
B66y0,Aleukaemic monocytic leukaemia
B66yz,Other monocytic leukaemia NOS
B66z.,Monocytic leukaemia NOS
B67..,Other specified leukaemia
B670.,(Acute erythraemia+erythroleukaemia) or( Di Guglielmo's dis)
B671.,(Chronic erythraemia) or (Heilmeyer - Schoner disease)
B672.,Megakaryocytic leukaemia
B673.,Mast cell leukaemia
B674.,Acute panmyelosis
B675.,Acute myelofibrosis
B67y.,Other and unspecified leukaemia
B67y0,Lymphosarcoma cell leukaemia
B67yz,Other and unspecified leukaemia NOS
B67z.,Other specified leukaemia NOS
B68..,Leukaemia of unspecified cell type
B680.,Acute leukaemia NOS
B681.,Chronic leukaemia NOS
B682.,Subacute leukaemia NOS
B68y.,Other leukaemia of unspecified cell type
B68z.,Leukaemia NOS
B69..,Myelomonocytic leukaemia
B690.,Acute myelomonocytic leukaemia
B691.,Chronic myelomonocytic leukaemia
B692.,Subacute myelomonocytic leukaemia
B6y..,Malignant neoplasm lymphatic or haematopoietic tissue OS
B6z..,Malignant neoplasm lymphatic or haematopoietic tissue NOS
BBg1.,[M]Malignant lymphoma NOS
BBg10,"[M]Malignant lymphoma, diffuse NOS"
BBg2.,"[M]Malignant lymphoma, non-Hodgkin's type"
BBg3.,"[M]Malignant lymphoma, undifferentiated cell type NOS"
BBg4.,"Malignant lymphoma, stem cell type"
BBg5.,"[M]Malignant lymphoma, convoluted cell type NOS"
BBg6.,[M]Lymphosarcoma NOS
BBg7.,"[M]Malignant lymphoma, lymphoplasmacytoid type"
BBg8.,"[M]Malignant lymphoma, immunoblastic type"
BBg9.,"[M]Mal lymphoma, mix lymph-hist NOS (& [diff reticulosarc])"
BBgA.,"[M]Malignant lymphoma, centroblastic-centrocytic, diffuse"
BBgB.,"[M]Malignant lymphoma, follicular centre cell NOS"
