code,description
B211,HIV disease resulting in Burkitt lymphoma
B212,HIV disease resulting in other types of non-Hodgkin lymphoma
B213,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue"
C81,Hodgkin lymphoma
C810,Nodular lymphocyte predominant Hodgkin lymphoma
C811,Nodular sclerosis (classical) Hodgkin lymphoma
C812,Mixed cellularity (classical) Hodgkin lymphoma
C813,Lymphocyte depleted (classical) Hodgkin lymphoma
C814,Lymphocyte-rich (classical) Hodgkin lymphoma
C817,Other (classical) Hodgkin lymphoma
C819,"Hodgkin lymphoma, unspecified"
C82,Follicular lymphoma
C820,Follicular lymphoma grade I
C821,Follicular lymphoma grade II
C822,"Follicular lymphoma grade III, unspecified"
C823,Follicular lymphoma grade IIIa
C824,Follicular lymphoma grade IIIb
C825,Diffuse follicle centre lymphoma
C826,Cutaneous follicle centre lymphoma
C827,Other types of follicular lymphoma
C829,"Follicular lymphoma, unspecified"
C83,Non-follicular lymphoma
C830,Small cell B-cell lymphoma
C831,Mantle cell lymphoma
C833,Diffuse large B-cell lymphoma
C835,Lymphoblastic (diffuse) lymphoma
C837,Burkitt lymphoma
C838,Other non-follicular lymphoma
C839,"Non-follicular (diffuse) lymphoma, unspecified"
C84,Mature T/NK-cell lymphomas
C840,Mycosis fungoides
C841,S¢u?zary disease
C844,"Peripheral T-cell lymphoma, not elsewhere classified"
C845,Other mature T/NK-cell lymphomas
C846,"Anaplastic large cell lymphoma, ALK-positive"
C847,"Anaplastic large cell lymphoma, ALK-negative"
C848,"Cutaneous T-cell lymphoma, unspecified"
C849,"Mature T/NK-cell lymphoma, unspecified"
C85,Other and unspecified types of non-Hodgkin lymphoma
C851,"B-cell lymphoma, unspecified"
C852,Mediastinal (thymic) large B-cell lymphoma
C857,Other specified types of non-Hodgkin lymphoma
C859,"Non-Hodgkin lymphoma, unspecified"
C86,Other specified types of T/NK-cell lymphoma
C860,"Extranodal NK/T-cell lymphoma, nasal type"
C861,Hepatosplenic T-cell lymphoma
C862,Enteropathy-type (intestinal) T-cell lymphoma
C863,Subcutaneous panniculitis-like T-cell lymphoma
C864,Blastic NK-cell lymphoma
C865,Angioimmunoblastic T-cell lymphoma
C866,Primary cutaneous CD30-positive T-cell proliferations
C88,Malignant immunoproliferative diseases
C880,Waldenstr¢u?m macroglobulinaemia
C882,Other heavy chain disease
C883,Immunoproliferative small intestinal disease
