code,description
B600.,Reticulosarcoma
BBg1.,[M]Lymphoma NOS
B61..,Hodgkin's disease
BBg2.,[M]Non Hodgkins lymphoma
B627.,Non - Hodgkin's lymphoma
BBn0.,[M]MYELOMA NOS
BBB1.,[M]Adenolymphoma
B680.,Acute leukaemia NOS
B64..,Lymphatic leukaemia
B68z.,Leukaemia NOS
B640.,Acute lymphoid leukaemia
B650.,Acute myeloid leukaemia
B937W,Myelodysplasia
BBr..,[M]Leukaemias
B625.,"HISTIOCYTOSIS X (ACUTE, PROGRESSIVE)"
B630.,MULTIPLE MYELOMA
B624.,Leukaemic reticuloendotheliosis
B620.,Nodular lymphoma (Brill - Symmers disease)
D41y1,Myelofibrosis
BBrA4,[M]Hairy cell leukaemia
B6y0.,Myeloproliferative disorder
BBr01,[M]Acute leukaemia NOS
B65..,Myeloid leukaemia
BBv..,[M]Myelodysplastic syndrome
ByuDF,[X]Non-Hodgkin's lymphoma NOS
B641.,Chronic lymphoid leukaemia
ByuDF,"[X]Non-Hodgkin's lymphoma, unspecified type"
BBmK.,[M]WALDENSTROM'S MACROGLOBULINAEMIA
BBs5.,[M]Chronic lymphoproliferative disease
C3330,WALDENSTROM'S MACROGLOBULINAEMIA
B651.,Chronic myeloid leukaemia
B621.,Mycosis fungoides
BBr20,[M]Lymphoid leukaemia NOS
B6...,MALIGNANT NEOPLASM OF LYMPHATIC AND HAEMOPOIETIC TISSUE
B62y.,Malignant lymphoma NOS
B62x2,Peripheral T-cell lymphoma
B62yz,Malignant lymphoma NOS
B626.,MALIGNANT MAST CELL TUMOURS
B630.,MYELOMATOSIS
B62y8,Malignant lymphoma NOS of lymph nodes of multiple sites
B681.,Chronic leukaemia NOS
BBg2.,"[M]Malignant lymphoma, non Hodgkin's type"
BBmD.,[M] Cutaneous lymphoma
B6y0.,Myeloproliferative disease
BBg..,"[M]Lymphomas, NOS or diffuse"
B627C,Follicular lymphoma NOS
B6277,Diffuse non-Hodgkin's lymphoblastic (diffuse) lymphoma
B62x.,Malignant lymphoma otherwise specified
BBmH.,[M] Large cell lymphoma
BBn0.,[M]MULTIPLE MYELOMA
B6301,SOLITARY MYELOMA
B6148,Hodgkin's nodular sclerosis of lymph nodes of multiple sites
B64..,Lymphoid leukaemia
B660.,Acute monocytic leukaemia
BBk..,"[M]Lymphomas, nodular or follicular"
B69..,Myelomonocytic leukaemia
BBr20,[M]Lymphatic leukaemia
BBj..,[M]Hodgkin's disease
B6302,PLASMACYTOMA NOS
B602.,Burkitt's lymphoma
BBgC.,[M]Lymphocytic lymphoma NOS
B627C,Follicular non-Hodgkin's lymphoma
B691.,Chronic myelomonocytic leukaemia
BBr01,[M]Blast cell leukaemia
B6300,"Malignant plasma cell neoplasm, extramedullary plasmacytoma"
BBg10,"[M]Malignant lymphoma, diffuse NOS"
B68..,Leukaemia of unspecified cell type
BBm6.,[M] ALPHA HEAVY CHAIN DISEASE
B624.,Leukaemic reticuloendotheliosis
B670.,Di Guglielmo's disease
B601.,Lymphosarcoma
B661.,Chronic monocytic leukaemia
B651z,Chronic myeloid leukaemia NOS
B65y1,Acute promyelocytic leukaemia
B641.,Chronic lymphatic leukaemia
BBv2.,[M]AngiocentricT-cell lymphoma
B675.,ACUTE MYELOFIBROSIS
B6270,Follicular non-Hodgkin's small cleaved cell lymphoma
B614.,"Hodgkin's disease, nodular sclerosis"
BBr27,[M]Adult T-cell leukaemia/lymphoma
B613z,"Hodgkin's, lymphocytic-histiocytic predominance NOS"
BBs..,[M]Misc myeloproliferative and lymphoproliferative disorders
B67z.,Other specified leukaemia NOS
B6y..,MALIGNANT NEOPLASM LYMPHATIC OR HAEMATOPOIETIC TISSUE OS
B6268,MAST CELL MALIGNANCY OF LYMPH NODES OF MULTIPLE SITES
BBm9.,[M] Monocytoid B-cell lymphoma
BBj11,"[M]Hodgkin,s disease, lymphocytic predominance, nodular"
B627B,Other types of follicular non-Hodgkin's lymphoma
B64y1,Prolymphocytic leukaemia
BBn0.,[M]PLASMA CELL MYELOMA
B651.,Chronic granulocytic leukaemia
BBgM.,"[M]Malignant lymphoma, small cleaved cell, diffuse"
BBj62,"[M]Hodgkin,s disease, nodular sclerosis, lymphocytic deplet"
BBv0.,[M]Monocytoid B-cell lymphoma
BBr03,[M]Chronic leukaemia NOS
B627W,Unspecified B-cell non-Hodgkin's lymphoma
4M22.,Lymphoma stage III
B62..,OTHER MALIGNANT NEOPLASM OF LYMPHOID AND HISTIOCYTIC TISSUE
B65z.,Myeloid leukaemia NOS
BBgR.,"[M]Malignant lymphoma, large cell, diffuse NOS"
B62y4,Malignant lymphoma NOS of lymph nodes of axilla and arm
BBgG.,[M]Lymphoblastic lymphoma NOS
B68y.,Other leukaemia of unspecified cell type
B625.,LETTERER-SIWE DISEASE
B622.,Sezary's disease
BBr6.,[M]Myeloid leukaemias
B66..,Monocytic leukaemia
BBg1.,[M]Malignant lymphoma NOS
B6...,MALIGNANT NEOPLASM OF HISTIOCYTIC TISSUE
B63..,Multiple myeloma and immunoproliferative neoplasms
B67..,Other specified leukaemia
BBr21,[M]Acute lymphoid leukaemia
B64y2,Adult T-cell leukaemia
BBrA7,[M]Acute myelofibrosis
BBr60,[M]Granulocytic leukaemia NOS
B621z,Mycosis fungoides NOS
B936.,PLASMACYTOMA NOS
B64yz,Other lymphoid leukaemia NOS
B64z.,Lymphoid leukaemia NOS
B613.,"Hodgkin's disease, lymphocytic-histiocytic predominance"
B631.,Plasma cell leukaemia
B6y1.,Myelosclerosis with myeloid metaplasia
BBn0.,[M]PLASMACYTIC MYELOMA
B627X,"Diffuse non-Hodgkin's lymphoma, unspecified"
BBk5.,"[M]Malig lymp, follicular centre cell, cleaved, follicular"
BBgE.,"[M]Malignant lymphoma, centrocytic"
BBr0.,[M]Leukaemias unspecified
BBj60,"[M]Hodgkin,s disease, nodular sclerosis, lymphocytic predom"
BBkz.,"[M]Lymphoma, nodular or follicular NOS"
ByuD.,"[X]Malignant neoplasms of lymphoid, haematopoietic and rela"
BBm5.,[M] Peripheral T-cell lymphoma NOS
4M2..,Lymphoma staging system
B60..,Lymphosarcoma and reticulosarcoma
BBr23,[M]Chronic lymphoid leukaemia
BBr00,[M]Leukaemia NOS
BBg7.,"[M]Malignant lymphoma, lymphoplasmacytoid type"
BBgB.,"[M]Malignant lymphoma, follicular centre cell NOS"
BBj6.,"[M]Hodgkin's disease, nodular sclerosis NOS"
BBrz.,[M]Leukaemia NOS
B61zz,Hodgkin's disease NOS
B670.,Acute erythraemia and erythroleukaemia
B62y3,Malignant lymphoma NOS of intra-abdominal lymph nodes
BBjz.,[M]Hodgkin's disease NOS
B936.,MYELOMA - SOLITARY
ByuD0,[X]Other Hodgkin's disease
B63z.,Immunoproliferative neoplasm or myeloma NOS
BBn..,[M]Plasma cell tumours
B630.,KAHLER'S DISEASE
B611.,Hodgkin's granuloma
B623.,MALIGNANT HISTIOCYTOSIS
B62xX,Oth and unspecif peripheral & cutaneous T-cell lymphomas
A7896,HIV disease resulting in Burkitt's lymphoma
ByuHD,"[X]Myelodysplastic syndrome, unspecified"
B6201,"Nodular lymphoma of lymph nodes of head, face and neck"
B937W,"Myelodysplastic syndrome, unspecified"
BBm3.,[M]ACUTE PROGRESSIVE HISTIOCYTOSIS X
B6303,LAMBDA LIGHT CHAIN MYELOMA
BBr25,[M]Prolymphocytic leukaemia
BBr67,[M]Acute myelomonocytic leukaemia
BBr4.,[M]Erythroleukaemias
BBgL.,"[M]Malignant lymphoma, small lymphocytic NOS"
BBg4.,"[M]Malignant lymphoma, stem cell type"
BBl..,[M]Mycosis fungoides
B625z,LETTERER-SIWE DISEASE NOS
BBm2.,[M]HISTIOCYTIC MEDULLARY RETICULOSIS
BBr68,[M]Chronic myelomonocytic leukaemia
BBr2.,[M]Lymphoid leukaemias
BBg8.,"[M]Malignant lymphoma, immunoblastic type"
BBg0.,"[M]Lymphomatous tumour, benign"
BBk0.,[M]Giant follicular lymphoma
B6272,Follicular non-Hodgkin's large cell lymphoma
B6z..,MALIGNANT NEOPLASM LYMPHATIC OR HAEMATOPOIETIC TISSUE NOS
BBrA5,[M]Acute megakaryoblastic leukaemia
BBmC.,[M] T-gamma lymphoproliferative disease
B615.,"Hodgkin's disease, mixed cellularity"
B64y.,Other lymphoid leukaemia
BBh0.,[M]RETICULUM CELL SARCOMA NOS
B6273,Diffuse non-Hodgkin's small cell (diffuse) lymphoma
B6275,Diffuse non-Hodgkin mixed sml & lge cell (diffuse) lymphoma
B62y1,"Malignant lymphoma NOS of lymph nodes of head, face and neck"
B674.,ACUTE PANMYELOSIS
BBr26,[M]Burkitt's cell leukaemia
BBj2.,"[M]Hodgkin's disease, mixed cellularity"
BBgV.,"[M]Malignant lymphoma, small cell, noncleaved, diffuse"
BBgD.,"[M]Malig lymphoma, lymphocytic, intermediate different NOS"
BBgz.,"[M]Lymphoma, diffuse or NOS"
B6530,Chloroma
BBgG.,[M]Lymphoblastoma NOS
BBmE.,[M] GAMMA HEAVY CHAIN DISEASE
BBr63,[M]Chronic myeloid leukaemia
4C53.,BONE MARROW: MYELOMA CELLS
B61z.,Hodgkin's disease NOS
ZV678,[V]Follow-up examination after chemotherapy for leukaemia
B6276,Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma
BBn0.,[M]MYELOMATOSIS
B6258,LETTERER-SIWE DISEASE OF LYMPH NODES OF MULTIPLE SITES
BBm8.,[M] Angioimmunoblastic lymphadenopathy
BBr61,[M]Acute myeloid leukaemia
B682.,Subacute leukaemia NOS
