code,description
7K1Q.,Bone marrow transplant
7K1Q1,Allograft of bone marrow NEC
7K1Q2,Transfusion of stem cells
7K1Q.,Graft of bone marrow
SP087,Acute graft-versus-host disease
SP088,Chronic graft-versus-host disease
7L144,Peripheral blood stem cell graft
SP082,Bone-marrow transplant rejection
7L144,Second stage peripheral stem cell infusion
7L173,First stage peripheral stem cell infusion
7K1Qz,Graft of bone marrow NOS
7K1Qy,Other specified graft of bone marrow
7K1Q3,Allograft of bone marrow from sibling donor
7L145,Autologous peripheral blood stem cell transplant
7L147,Allogeneic peripheral blood stem cell transplant
7K1Q4,Allograft of bone marrow from matched unrelated donor
7K1Q6,Allograft of bone marrow from unmatched unrelated donor
7K1Q5,Allograft of bone marrow from haploidentical donor
7L146,Syngeneic peripheral blood stem cell transplant
