code,description
5135.,Radiological tumour control
514..,Purpose of radiotherapy
5141.,Radiotherapy for immunosuppression
5142.,Radiotherapy for haemopoietic irradiation
5143.,Radiotherapy for lymphatic irradiation
5144.,Preoperative course of radiotherapy
5145.,Radiotherapy - intraoperative control
5146.,Postoperative course of radiotherapy
5147.,Radiotherapy for analgesia
5148.,Radiotherapy for inflammation
5149.,Palliative course of radiotherapy
514Z.,Radiotherapy purpose - NOS
515..,Progress of radiotherapy
5151.,Radiotherapy started
5152.,Radiotherapy changed
5153.,Radiotherapy stopped
5154.,Radiotherapy completed
515Z.,Radiotherapy progress NOS
56B5.,Image: field control:radiother
591..,X-ray beam therapy
5911.,Grenz ray therapy up to 10 kV
5912.,Superficial X-ray therapy 10-60 kV
5913.,Half-deep therapy 60-150 kV
5914.,Deep X-ray therapy 150-400 kV
5915.,Ultrahard X-rays 400-2000 kV
5916.,Short distance X-ray therapy
5917.,Intracavitary X-ray therapy
5918.,Combined X-ray therapy
591Z.,X-ray beam therapy NOS
592..,High-energy beam therapy
5921.,Linear accelerator photon therapy
5922.,Betatron photon therapy
5923.,Van der Graaff photon therapy
5924.,Combined photon therapy
592Z.,High-energy beam therapy NOS
593..,Fast-electron therapy
5931.,Linear accelerator electrons
5932.,Betatron electron therapy
5933.,Positron therapy
5934.,Combined fast-electron therapy
593Z.,Fast-electron therapy NOS
594..,Heavy particle therapy
5941.,Proton therapy
5942.,Deuteron therapy
5943.,Pi-meson therapy
5944.,Neutron capture therapy
5945.,Fast neutron therapy
5946.,Combined heavy particle therapy
594Z.,Heavy particle therapy NOS
595..,Gamma ray and intermediate distance curietherapy
5951.,Gamma-ray telecurie therapy
5952.,Intermediate distance curietherapy
5953.,Combined teletherapy and intermediate distance curietherapy
595Z.,Distant gamma therapy NOS
596..,Short distance and contact radiotherapy
5961.,Radium contact therapy
5962.,Beta source contact therapy
5963.,Mould technique gamma/beta
596Z.,Short distance/contact radiotherapy NOS
597..,Combined radiotherapy
5971.,External beam with internal radiotherapy
5972.,External beam - surgery with preoperative radiotherapy
5973.,External beam - surgery with postoperative radiotherapy
5974.,External beam - surgery with chemotherapy
5975.,External beam with chemotherapy
597Z.,Combined radiotherapy NOS
59Z..,External radiotherapy NOS
5A...,(Radiotherapy - internal) or (other nuclear therapy)
5A1..,Internal metabolic radiotherapy
5A11.,Thyroid gland ablation - irradiation
5A12.,Thyroid tumour/metastasis irradiation
5A13.,Bone marrow suppression - irradiation
5A14.,Polycythaemia irradiation
5A15.,Bone tumour/metastasis irradiation
5A16.,Radioactive drug therapy
5A17.,Combined internal radiotherapy
5A1Z.,Internal metabolic radiotherapy NOS
5A2..,Internal radiotherapy - unsealed source
5A21.,Radiotherapy: infuse skull/brain
5A22.,Radiotherapy: infuse head/neck
5A23.,Radiotherapy: infuse pleural cavity
5A24.,Radiotherapy: infuse peritoneal cavity
5A25.,Radiotherapy: endolymphatic infusion
5A26.,Radiotherapy: infuse urinary bladder
5A27.,Radiotherapy: infuse organ cavity
5A28.,Radiotherapy: infiltrate tissue
