code,description
Ua14c,Patient immunocompromised
Ua19z,Patient immunosuppressed
5141.,Radiotherapy for immunosuppression
XaM6J,High cost immunosuppressant drugs
XaM6P,High cost immunosuppressant drugs NOS
XaXUJ,Immunosuppressant drug therapy
Xa97S,Immunosuppressive therapy
BBmC.,[M] T-gamma lymphoproliferative disease
XE11D,Other specified disturbance of amino acid metabolism
X40Ua,Adenosine deaminase deficiency
C391.,Deficiencies of cell-mediated immunity
XE11w,Predominantly T-cell immuno-deficiency NOS
XM0BW,Predominantly T-cell defect
XM0BW,Cell-mediated immune deficiency
X20HE,T-lymphocyte deficiency
C3911,DiGeorge syndrome
C3912,Wiskott-Aldrich syndrome
C3912,Wiskott-Aldrich syndrome
C3912,Aldrich syndrome
C392.,Combined T-cell and B-cell immunodeficiency
C392.,Severe combined immunodeficiency
C392.,Severe combined immunodeficiency
X20HJ,X-linked severe combined immunodeficiency
X20HJ,Agammaglobulinaemia - Swiss type
C3923,Severe combined immunodefiency with reticular dysgenesis
C3924,Severe combined immunodeficiency with low T- and B-cell numbers
C3925,Severe combined immunodeficiency with low or normal B-cell numbers
X40Ua,Adenosine deaminase deficiency
X40Uc,Purine nucleoside phosphorylase deficiency
C3928,Major histocompatibility complex class I deficiency
C3929,Major histocompatibility complex class II deficiency
C392z,Combined immunity deficiency NOS
C393.,Unspecified immunity deficiency
X20HK,Immunodeficiency with short-limbed stature
C396.,Immunodeficiency following hereditary defective response to Epstein-Barr virus
Cyu03,"[X]Immunodeficiency associated with major defect, unspecified"
C39y0,Lymphocyte function antigen-1 defect
Cyu05,[X]Other specified immunodeficiency disorders
D2015,Pancytopenia - acquired
XE13v,Pancytopenia NOS
XE13v,Pancytopenia NOS
X20CO,Pancytopenia with pancreatitis
X20HM,Familial erythrophagocytic lymphohistiocytosis
X20HM,Familial erythrophagocytic lymphohistiocytosis
X20HM,FEL - Familial erythrophagocytic lymphohistiocytosis
F14y0,Ataxia telangiectasia
F14y0,Ataxia telangiectasia
F14y0,Louis-Bar syndrome
XE1oM,Antineoplastic and immunosuppressive poisoning
Xa4rU,Antineoplastic poisoning
XE1oM,Immunosuppressive poisoning
U6034,[X]Immunosuppressive agents causing adverse effects in therapeutic use
TJ31R,Adverse reaction to antilymphocyte immunoglobulin
U6034,[X]Immunosuppressive agents causing adverse effects in therapeutic use
TJ31Q,Adverse reaction to azathioprine
U6034,[X]Immunosuppressive agents causing adverse effects in therapeutic use
TJ31S,Adverse reaction to ciclosporin
U6034,[X]Immunosuppressive agents causing adverse effects in therapeutic use
