code,description
D2016,Pancytopenia NOS
C393.,Unspecified immunity deficiency
D2015,Pancytopenia - acquired
2J31.,Patient immunosuppressed
SL31.,Immunosuppressive poisoning
U6034,[X]Immunosuppress agents caus adverse effects in therap use
2J30.,Patient immunocompromised
C3910,T-lymphocyte deficiency
C391.,Deficiencies of cell-mediated immunity
7Q08.,High cost immunosuppressant drugs
C3910,Predominantly T-cell immuno-deficiency NOS
5141.,Radioth.for immunosuppression
C3910,Cellular immunity syndrome
Cyu05,[X]Other specified immunodeficiency disorders
8BPE.,Immunosuppressant drug therapy
7Q08z,High cost immunosuppressant drugs NOS
8C32.,Immunosuppressive therapy
C3911,Di George syndrome
F14y0,Louis - Bar syndrome
C3912,Wiskott - Aldrich syndrome
C3923,Severe combined immunodefiency with reticular dysgenesis
C39X.,"Immunodeficiency associated+major defect, unspecified"
C3912,Thrombocytopenic eczema with immunodeficiency
C3921,Severe combined immunodeficiency
BBmC.,[M] T-gamma lymphoproliferative disease
C3925,Severe combined immunodef with low or normal B-cell numbers
C3928,Major histocompatibility complex class I deficiency
C39y0,Lymphocyte function antigen-1 defect
C396.,Immunodef follow hereditary defect respon Epstein-Barr vir
C30yy,Adenosine-deaminase deficiency
D4011,FEL-Familial erythrophagocytic lymph histiocytosis
D2016,Pancytopenia with pancreatitis
C392.,Combined immunity deficiency
C392z,Combined immunity deficiency NOS
C395.,Immunodeficiency with short-limbed stature
C3924,Severe combined immunodef with low T- and B-cell numbers
C3926,Adenosine deaminase deficiency
F14y0,Ataxia-telangiectasia
C3927,Purine nucleoside phosphorylase deficiency
C3929,Major histocompatibility complex class II deficiency
