code,description
43C3.,HIV positive
A789A,HIV disease resulting in wasting syndrome
A788.,Human immunodeficiency virus infection
65QA.,AIDS carrier
A7892,HIV disease resulting in candidiasis
H24y2,Pneumonia with pneumocystis carinii
A7893,HIV disease resulting in Pneumocystis carinii pneumonia
A7895,HIV disease resulting in Kaposi's sarcoma
43j8.,HTLV 1 nucleic acid detection
65VE.,Notification of AIDS
A788z,Acquired human immunodeficiency virus infection syndrome NOS
A7890,HIV disease resulting in mycobacterial infection
Eu024,[X]Dementia in human immunodef virus [HIV] disease
43j7.,HIV 1 nucleic acid detection
R109.,[D]Laboratory evidence of human immunodeficiency virus [HIV]
A7896,HIV disease resulting in Burkitt's lymphoma
A798.,Retrovirus infection
A788U,"HIV disease result/haematological+immunologic abnorms,NEC"
A7894,HIV disease resulting in multiple infections
A789X,"HIV dis reslt/oth mal neopl/lymph,h'matopoetc+reltd tissu"
A7884,Human immunodeficiency virus with neurological disease
A7y01,Retrovirus as cause of diseases classified to other chapters
A7880,Acute human immunodeficiency virus infection
A7881,Asymptomatic human immunodeficiency virus infection
AyuC.,[X]Human immunodeficiency virus disease
A788y,Human immunodeficiency virus with other clinical findings
A7899,HIV disease resulting in lymphoid interstitial pneumonitis
A7897,HIV dis resulting oth types of non-Hodgkin's lymphoma
A7891,HIV disease resulting in cytomegaloviral disease
A788W,HIV disease resulting in unspecified malignant neoplasm
A7882,HIV infection with persistent generalised lymphadenopathy
AyuC6,[X]HIV disease resulting in other non-Hodgkin's lymphoma
A7885,Human immunodeficiency virus with secondary infection
A7883,Human immunodeficiency virus with constitutional disease
A788X,HIV disease resulting/unspcf infectious+parasitic disease
43jE.,HTLV 2 nucleic acid detection
43w3.,Human immunodeficiency virus RNA/DNA ratio
AyuCB,"[X]HIV disease result/haematological+immunologic abnorms,NEC"
4J3F.,Human immunodeficiency virus viral load by log rank
66j..,Human immunodeficiency virus monitoring
AyuCD,[X]Unspecified human immunodeficiency virus [HIV] disease
66j0.,Human immunodeficiency virus annual review
A7886,Human immunodeficiency virus with secondary cancers
AyuC3,[X]HIV disease resulting in multiple infections
AyuCC,[X]HIV disease resulting in other specified conditions
