code,description
h1...,ALKYLATING DRUGS
h11..,BUSULFAN
h111.,*MYLERAN 500micrograms tablets
h112.,MYLERAN 2mg tablets
h11y.,BUSULPHAN 500micrograms tablets
h11z.,BUSULFAN 2mg tablets
h12..,CARMUSTINE
h121.,BICNU 100mg injection (pdr for recon)
h12z.,CARMUSTINE 100mg injection (pdr for recon)
h13..,CHLORAMBUCIL
h131.,LEUKERAN 2mg tablets
h132.,*LEUKERAN 5mg tablets
h13y.,CHLORAMBUCIL 2mg tablets
h13z.,*CHLORAMBUCIL 5mg tablets
h14..,CYCLOPHOSPHAMIDE
h141.,CYCLOPHOSPHAMIDE 50mg tablets
h142.,CYCLOPHOSPHAMIDE 100mg injection (pdr for recon)
h143.,CYCLOPHOSPHAMIDE 200mg injection (pdr for recon)
h144.,CYCLOPHOSPHAMIDE 500mg injection (pdr for recon)
h145.,CYCLOPHOSPHAMIDE 1g injection (pdr for recon)
h147.,*ENDOXANA 50mg tablets
h148.,ENDOXANA 100mg injection (pdr for recon)
h149.,ENDOXANA 200mg injection (pdr for recon)
h14a.,ENDOXANA 500mg injection (pdr for recon)
h14b.,ENDOXANA 1g injection (pdr for recon)
h15..,ESTRAMUSTINE PHOSPHATE
h151.,ESTRACYT 140mg capsules
h15z.,ESTRAMUSTINE PHOSPHATE 140mg capsules
h17..,IFOSFAMIDE
h171.,MITOXANA 500mg injection (pdr for recon)
h172.,MITOXANA 1g injection (pdr for recon)
h173.,MITOXANA 2g injection (pdr for recon)
h17x.,IFOSFAMIDE 500mg injection (pdr for recon)
h17y.,IFOSFAMIDE 1g injection (pdr for recon)
h17z.,IFOSFAMIDE 2g injection (pdr for recon)
h18..,LOMUSTINE
h181.,*CCNU 10mg capsules
h182.,CCNU 40mg capsules
h18y.,*LOMUSTINE 10mg capsules
h18z.,LOMUSTINE 40mg capsules
h19..,MELPHALAN
h191.,ALKERAN 2mg tablets
h192.,*ALKERAN 5mg tablets
h193.,ALKERAN UNIT PACK 100mg injection (pdr for recon)
h19x.,MELPHALAN 2mg tablets
h19y.,*MELPHALAN 5mg tablets
h19z.,MELPHALAN 100mg injection (pdr for recon)
h1a..,MITOBRONITOL
h1a1.,MYELOBROMOL 125mg tablets
h1az.,MITOBRONITOL 125mg tablets
h1b..,*MUSTINE HYDROCHLORIDE
h1b1.,MUSTINE HYDROCHLORIDE 10mg injection (pdr for recon)
h1c..,THIOTEPA
h1c1.,THIOTEPA 15mg injection (pdr for recon)
h1d..,TREOSULFAN
h1d1.,TREOSULFAN 250mg capsules
h1d2.,TREOSULFAN 5g/100mL injection (pdr for recon)
h2...,CYTOTOXIC ANTIBIOTICS
h21..,ACTINOMYCIN D
h211.,COSMEGEN LYOVAC 500micrograms injection (pdr for recon)
h21z.,ACTINOMYCIN D 500micrograms injection (pdr for recon)
h22..,BLEOMYCIN
h221.,BLEOMYCIN 15units injection (pdr for recon)
h23..,DOXORUBICIN HYDROCHLORIDE
h231.,*ADRIAMYCIN 10mg injection
h232.,*ADRIAMYCIN 50mg injection
h233.,DOXORUBICIN RAPID DISSOL 10mg injection (pdr for recon)
h234.,DOXORUBICIN RAPID DISSOL 50mg injection (pdr for recon)
h23y.,DOXORUBICIN HCL 10mg solution for injection
h23z.,DOXORUBICIN HCL 50mg solution for injection
