code,description,bnf_code,bnf_7
37082311000001104,Calcium and Ergocalciferol tablets,0906040N0AAA1A1,0906040
1030411000001102,Calcium and Ergocalciferol tablets,0906040N0AAA1A1,0906040
1299811000001105,Calcium and Ergocalciferol tablets,0906040N0AAA1A1,0906040
5628411000001107,Calcium and Ergocalciferol tablets,0906040N0AAA1A1,0906040
303711000001108,Calcium and Ergocalciferol tablets (A A H Pharmaceuticals Ltd),0906040N0AAA1A1,0906040
1935811000001102,Calcium and Ergocalciferol tablets (A A H Pharmaceuticals Ltd),0906040N0AAA1A1,0906040
1936011000001104,Calcium and Ergocalciferol tablets (A A H Pharmaceuticals Ltd),0906040N0AAA1A1,0906040
8424811000001106,Calcium and Ergocalciferol tablets (A A H Pharmaceuticals Ltd),0906040N0AAA1A1,0906040
580311000001100,Calcium and Ergocalciferol tablets (Accord Healthcare Ltd),0906040N0AAA1A1,0906040
1936111000001103,Calcium and Ergocalciferol tablets (Accord Healthcare Ltd),0906040N0AAA1A1,0906040
565411000001102,Calcium and Ergocalciferol tablets (Approved Prescription Services Ltd),0906040N0AAA1A1,0906040
1936311000001101,Calcium and Ergocalciferol tablets (Approved Prescription Services Ltd),0906040N0AAA1A1,0906040
78511000001100,Calcium and Ergocalciferol tablets (Kent Pharmaceuticals Ltd),0906040N0AAA1A1,0906040
1936611000001106,Calcium and Ergocalciferol tablets (Kent Pharmaceuticals Ltd),0906040N0AAA1A1,0906040
5628511000001106,Calcium and Ergocalciferol tablets (Kent Pharmaceuticals Ltd),0906040N0AAA1A1,0906040
932611000001105,Calcium and Ergocalciferol tablets (Alliance Healthcare (Distribution) Ltd),0906040N0AAA1A1,0906040
1937111000001100,Calcium and Ergocalciferol tablets (Alliance Healthcare (Distribution) Ltd),0906040N0AAA1A1,0906040
7845311000001100,Calcium and Ergocalciferol tablets (Alliance Healthcare (Distribution) Ltd),0906040N0AAA1A1,0906040
9794311000001100,Calcium and Ergocalciferol tablets (Almus Pharmaceuticals Ltd),0906040N0AAA1A1,0906040
9794811000001109,Calcium and Ergocalciferol tablets (Almus Pharmaceuticals Ltd),0906040N0AAA1A1,0906040
14163911000001105,Calcium and Ergocalciferol tablets (Healthcare Pharma Ltd),0906040N0AAA1A1,0906040
14164011000001108,Calcium and Ergocalciferol tablets (Healthcare Pharma Ltd),0906040N0AAA1A1,0906040
14164111000001109,Calcium and Ergocalciferol tablets (Healthcare Pharma Ltd),0906040N0AAA1A1,0906040
15968611000001103,Calcium and Ergocalciferol tablets (Zanza Specials International Ltd),0906040N0AAA1A1,0906040
15968711000001107,Calcium and Ergocalciferol tablets (Zanza Specials International Ltd),0906040N0AAA1A1,0906040
17815911000001107,Calcium and Ergocalciferol tablets (Phoenix Healthcare Distribution Ltd),0906040N0AAA1A1,0906040
18085811000001108,Calcium and Ergocalciferol tablets (Phoenix Healthcare Distribution Ltd),0906040N0AAA1A1,0906040
17816211000001109,Calcium and Ergocalciferol tablets (Phoenix Healthcare Distribution Ltd),0906040N0AAA1A1,0906040
18715711000001104,Calcium and Ergocalciferol tablets (Crescent Pharma Ltd),0906040N0AAA1A1,0906040
18715811000001107,Calcium and Ergocalciferol tablets (Crescent Pharma Ltd),0906040N0AAA1A1,0906040
30028511000001107,Calcium and Ergocalciferol tablets (DE Pharmaceuticals),0906040N0AAA1A1,0906040
30028611000001106,Calcium and Ergocalciferol tablets (DE Pharmaceuticals),0906040N0AAA1A1,0906040
37110011000001106,Calcium and Ergocalciferol tablets (DE Pharmaceuticals),0906040N0AAA1A1,0906040
30809211000001108,Calcium and Ergocalciferol tablets (Mawdsley-Brooks & Company Ltd),0906040N0AAA1A1,0906040
30809311000001100,Calcium and Ergocalciferol tablets (Mawdsley-Brooks & Company Ltd),0906040N0AAA1A1,0906040
34692811000001109,Calcium and Ergocalciferol tablets (Alissa Healthcare Research Ltd),0906040N0AAA1A1,0906040
34692911000001104,Calcium and Ergocalciferol tablets (Alissa Healthcare Research Ltd),0906040N0AAA1A1,0906040
36447211000001109,CalciErgo tablets (Essential-Healthcare Ltd),0906040N0CEAAA1,0906040
36447311000001101,CalciErgo tablets (Essential-Healthcare Ltd),0906040N0CEAAA1,0906040
38913611000001101,A1 Cal-E tablets (TriOn Pharma Ltd),0906040N0CFAAA1,0906040
38913711000001105,A1 Cal-E tablets (TriOn Pharma Ltd),0906040N0CFAAA1,0906040
39167911000001103,Calcium and Ergocalciferol tablets (Medihealth (Northern) Ltd),0906040N0AAA1A1,0906040
39168011000001101,Calcium and Ergocalciferol tablets (Medihealth (Northern) Ltd),0906040N0AAA1A1,0906040
329332009,Alfacalcidol 1microgram capsules,0906040B0AAABAB,0906040
1096011000001102,Alfacalcidol 1microgram capsules,0906040B0AAABAB,0906040
1054811000001106,Alfacalcidol 1microgram capsules,0906040B0AAABAB,0906040
805411000001100,Alfacalcidol 1microgram capsules (A A H Pharmaceuticals Ltd),0906040B0AAABAB,0906040
2006111000001104,Alfacalcidol 1microgram capsules (A A H Pharmaceuticals Ltd),0906040B0AAABAB,0906040
255711000001108,Alfacalcidol 1microgram capsules (Theramex HQ UK Ltd),0906040B0AAABAB,0906040
2006211000001105,Alfacalcidol 1microgram capsules (Theramex HQ UK Ltd),0906040B0AAABAB,0906040
498411000001104,Alfacalcidol 1microgram capsules (Kent Pharmaceuticals Ltd),0906040B0AAABAB,0906040
2006311000001102,Alfacalcidol 1microgram capsules (Kent Pharmaceuticals Ltd),0906040B0AAABAB,0906040
33011000001103,One-Alpha 1microgram capsules (Neon Healthcare Ltd),0906040B0BBABAB,0906040
2006611000001107,One-Alpha 1microgram capsules (Neon Healthcare Ltd),0906040B0BBABAB,0906040
319711000001108,Alfacalcidol 1microgram capsules (Alliance Healthcare (Distribution) Ltd),0906040B0AAABAB,0906040
2006711000001103,Alfacalcidol 1microgram capsules (Alliance Healthcare (Distribution) Ltd),0906040B0AAABAB,0906040
2006811000001106,Alfacalcidol 1microgram capsules (Alliance Healthcare (Distribution) Ltd),0906040B0AAABAB,0906040
13575111000001106,Alfacalcidol 1microgram capsules (DE Pharmaceuticals),0906040B0AAABAB,0906040
13575211000001100,Alfacalcidol 1microgram capsules (DE Pharmaceuticals),0906040B0AAABAB,0906040
15944211000001103,Alfacalcidol 1microgram capsules (Zanza Specials International Ltd),0906040B0AAABAB,0906040
15944311000001106,Alfacalcidol 1microgram capsules (Zanza Specials International Ltd),0906040B0AAABAB,0906040
17756611000001103,Alfacalcidol 1microgram capsules (Phoenix Healthcare Distribution Ltd),0906040B0AAABAB,0906040
17756711000001107,Alfacalcidol 1microgram capsules (Phoenix Healthcare Distribution Ltd),0906040B0AAABAB,0906040
20502711000001107,Alfacalcidol 1microgram capsules (Advanz Pharma),0906040B0AAABAB,0906040
20503111000001100,Alfacalcidol 1microgram capsules (Advanz Pharma),0906040B0AAABAB,0906040
29758411000001108,Alfacalcidol 1microgram capsules (Sigma Pharmaceuticals Plc),0906040B0AAABAB,0906040
29759111000001105,Alfacalcidol 1microgram capsules (Sigma Pharmaceuticals Plc),0906040B0AAABAB,0906040
38102511000001108,AlfacalEss 1microgram capsules (Essential-Healthcare Ltd),0906040B0BCACAB,0906040
38102611000001107,AlfacalEss 1microgram capsules (Essential-Healthcare Ltd),0906040B0BCACAB,0906040
38773611000001103,Alfacalcidol 1microgram capsules (Medihealth (Northern) Ltd),0906040B0AAABAB,0906040
38773711000001107,Alfacalcidol 1microgram capsules (Medihealth (Northern) Ltd),0906040B0AAABAB,0906040
39226611000001102,AlciDol 1microgram softgel capsules (TriOn Pharma Ltd),0906040B0BDACAB,0906040
39226711000001106,AlciDol 1microgram softgel capsules (TriOn Pharma Ltd),0906040B0BDACAB,0906040
329331002,Alfacalcidol 250nanogram capsules,0906040B0AAAAAA,0906040
985511000001109,Alfacalcidol 250nanogram capsules,0906040B0AAAAAA,0906040
544411000001109,Alfacalcidol 250nanogram capsules (Theramex HQ UK Ltd),0906040B0AAAAAA,0906040
2009011000001106,Alfacalcidol 250nanogram capsules (Theramex HQ UK Ltd),0906040B0AAAAAA,0906040
109811000001106,Alfacalcidol 250nanogram capsules (Kent Pharmaceuticals Ltd),0906040B0AAAAAA,0906040
2009111000001107,Alfacalcidol 250nanogram capsules (Kent Pharmaceuticals Ltd),0906040B0AAAAAA,0906040
108211000001100,One-Alpha 250nanogram capsules (Neon Healthcare Ltd),0906040B0BBAAAA,0906040
2009211000001101,One-Alpha 250nanogram capsules (Neon Healthcare Ltd),0906040B0BBAAAA,0906040
793811000001102,Alfacalcidol 250nanogram capsules (Alliance Healthcare (Distribution) Ltd),0906040B0AAAAAA,0906040
2009311000001109,Alfacalcidol 250nanogram capsules (Alliance Healthcare (Distribution) Ltd),0906040B0AAAAAA,0906040
912711000001105,Alfacalcidol 250nanogram capsules (A A H Pharmaceuticals Ltd),0906040B0AAAAAA,0906040
2012211000001106,Alfacalcidol 250nanogram capsules (A A H Pharmaceuticals Ltd),0906040B0AAAAAA,0906040
15061011000001105,Alfacalcidol 250nanogram capsules (Sigma Pharmaceuticals Plc),0906040B0AAAAAA,0906040
15061111000001106,Alfacalcidol 250nanogram capsules (Sigma Pharmaceuticals Plc),0906040B0AAAAAA,0906040
15943811000001100,Alfacalcidol 250nanogram capsules (Zanza Specials International Ltd),0906040B0AAAAAA,0906040
15943911000001105,Alfacalcidol 250nanogram capsules (Zanza Specials International Ltd),0906040B0AAAAAA,0906040
20503511000001109,Alfacalcidol 250nanogram capsules (Advanz Pharma),0906040B0AAAAAA,0906040
20504011000001104,Alfacalcidol 250nanogram capsules (Advanz Pharma),0906040B0AAAAAA,0906040
22199911000001102,Alfacalcidol 250nanogram capsules (Phoenix Healthcare Distribution Ltd),0906040B0AAAAAA,0906040
22200011000001109,Alfacalcidol 250nanogram capsules (Phoenix Healthcare Distribution Ltd),0906040B0AAAAAA,0906040
22587611000001108,Alfacalcidol 250nanogram capsules (DE Pharmaceuticals),0906040B0AAAAAA,0906040
22587711000001104,Alfacalcidol 250nanogram capsules (DE Pharmaceuticals),0906040B0AAAAAA,0906040
29990711000001101,Alfacalcidol 250nanogram capsules (Mawdsley-Brooks & Company Ltd),0906040B0AAAAAA,0906040
29990811000001109,Alfacalcidol 250nanogram capsules (Mawdsley-Brooks & Company Ltd),0906040B0AAAAAA,0906040
37615711000001102,Alfacalcidol 250nanogram capsules (Strides Pharma UK Ltd),0906040B0AAAAAA,0906040
37615811000001105,Alfacalcidol 250nanogram capsules (Strides Pharma UK Ltd),0906040B0AAAAAA,0906040
38101911000001107,AlfacalEss 0.25microgram capsules (Essential-Healthcare Ltd),0906040B0BCAAAA,0906040
38102011000001100,AlfacalEss 0.25microgram capsules (Essential-Healthcare Ltd),0906040B0BCAAAA,0906040
38771811000001103,Alfacalcidol 250nanogram capsules (Medihealth (Northern) Ltd),0906040B0AAAAAA,0906040
