code,description
ip32.,calcium & vitamin d 500units tablets
ip3a.,calcium and ergocalciferol 400units tablets
ip3c.,calcium carbonate+colecalciferol 1.25g/5micrograms tablets
ip3e.,calcium carbonate+colecalciferol 1.25g/10micrograms tablets
ip3g.,calcium carbonate+colecalciferol 1.25g/440iu/sachet granules
im23.,vitamin a+vitamin d 4000iu/400iu capsules
ip3i.,calcium carbonate+colecalciferol 1.5g/10micrograms chewable tablets
ip3k.,calcium phosphate+colecalciferol 3100mg/20micrograms/sachet powder for oral suspension
fo4x.,alendronic acid+colecalciferol 70mg/70micrograms tablets
ip3p.,calcium carbonate+colecalciferol 1.5g/400iu effervescent tablets
ip3v.,calcium carbonate+colecalciferol 750mg/200iu tablets
ip3x.,calcium carbonate+colecalciferol 1.5g/10micrograms tablets
